Graph,DuckDB native,DuckDB Yannakakis,DuckDB rewrite,PostgreSQL native,PostgreSQL Yannakakis,PostgreSQL rewrite,Spark native,Spark Yannakakis,Spark rewrite
q1a,15.1,8.688,8.185,46.958772,43.608,37.639,1.894,2.711,0.919
q1b,16.404,0.786,0.134,427.339909,2.018584,0.582325,42.936,3.379,3.262
q1c,43.662,2.018,1.427,404.047779,7.68,0.548831,1.128,4.631,0.9
q2a-bitcoin,671.92,650.128,640.031,784.447556,723.806552,685.864538,2.687,4.8,0.861
q2b-bitcoin,4865.387,9.801,0.962,7200,91.951821,20.894369,5.873,5.274,3.469
q3a,56.497,29.415,28.11,181.368427,141.203196,129.213009,2.369,5.046,1.112
q3b,13.889,0.743,0.123,371.153963,24.727154,2.843,71.984,5.046,3.802
q3c,40.67,0.97,0.113,427.956,8.157838,1.298598,1.433,5.249,0.952
q4a,6.616,0.425,0.386,21.824,3.819862,0.440218,1.178,3.991,0.969
q4b,16.805,0.469,0.099,272.12265,9.966176,2.522773,29.448,4.023,3.298
q5a,7200,1.724,0.701,5289.333393,11.464,1.365102,1.895,4.942,1.312
q5b,1499.421,1.399,0.407,2641.214227,25.785,1.053,539.045,11.68,6.034
q5a_dblp,6.698,0.824,0.359,12.282289,6.421145,2.072,1.628,5.141,1.303
q5a_google,7200,2.155,1.14,7200,22.149,7.871,1.997,6.702,1.275
q6,8.123,3.896,2.293,146.006,50.889,46.692,1.965,3.355,1.931
q7,7200,3.736,2.877,1012.70591,18.659,17.261,2.099,6.79,2.176
q8,7200,4.244,0.762,7200,95.291759,17.186,1.316,4.726,0.723
q9,7200,0.308,0.153,7200,1.474,0.75,2.4,7.962,2.469