JOB,DuckDB Yannakakis+ speedup,DuckDB Yannakakis speedup,PostgreSQL Yannakakis+ speedup,PostgreSQL Yannakakis speedup,Spark Yannakakis+ speedup,Spark Yannakakis speedup
1a,1.140230601,0.75881377,1.091438307,0.636182081,0.985990757,0.486288197
1b,1.067820069,0.976582278,1.526617622,0.559812301,1.406770151,1.328271234
1c,1.082344566,0.962236287,1.940291567,0.806087665,1.440745266,0.977819237
1d,1.048603225,0.91734552,1.57065023,0.556901292,1.28474026,1.161773341
2a,1.254938109,0.868099836,1.337076182,0.800079493,1.141697039,0.485704717
2b,1.100161179,0.754341648,2.493701169,1.660161595,1.148026975,0.511599937
2c,1.18617284,0.82260274,3.854190171,2.916504178,0.834737128,0.453146651
2d,1.280937335,0.65354648,1.137545856,0.554527756,2.29829252,0.486419205
3a,1.185075758,1.17826207,1.04213143,0.753972111,0.902524834,0.499484631
3b,1.157076801,1.115007382,1.246295373,0.811444899,1.090523458,0.491780734
3c,1.283968695,1.276428069,1.135126188,0.725327163,0.886997719,0.522440049
4a,3.539220291,1.423981858,1.435057968,0.436329808,1.350526075,0.388157053
4b,1.107428018,0.670229902,1.3234906,0.602215511,0.897993747,0.404656941
4c,6.560662622,3.653241523,1.046432321,0.581418605,1.229166667,0.411217572
5a,7.856796117,2.924119241,1.022923211,0.623415392,0.968517337,0.468496012
5b,3.848605578,1.374501992,1.59368247,0.778624857,0.99524858,0.49968301
5c,1.37739861,1.303509202,1.104950098,0.62852738,0.9178487,0.484959536
6a,1.138162423,0.982814976,1.209339929,0.579451388,1.000438691,0.503216217
6b,1.014233898,0.884834828,1.302805599,0.87095582,1.174453628,0.494861669
6c,1.399923654,1.218518108,1.153742462,0.660375751,1.008303459,0.481568102
6d,1.495739348,1.046063241,2.615529955,0.578153411,1.06057795,0.509208215
6e,1.185240336,0.392709834,1.206461236,0.18422041,1.031124307,0.459257175
6f,1.171081363,0.726428613,1.410785643,0.454623615,1.185685834,0.513773922
7a,1.124948136,0.746029874,1.041952171,0.667747109,1.193812843,0.459169509
7b,1.229325305,1.145922747,1.887085375,1.291272389,1.171106387,0.480150461
7c,14.83898718,8.977904591,1.17097798,0.896792738,1.103169645,0.456553526
8a,1.022270682,0.851220831,1.019990933,0.764218423,0.992283214,0.487424569
8b,1.048232368,0.950505417,1.200356205,1.164731735,0.872454617,0.48663634
8c,2.654035016,0.725375317,1.128594919,0.27701538,1.650874914,0.483002393
8d,1.267373025,0.516043848,1.017084984,0.306537013,1.388734287,0.489249235
9a,1.131551673,0.7516597,1.165130444,0.627028449,1.103601297,0.519980812
9b,1.314914064,1.137453639,1.018543691,0.684231659,0.99951146,0.505870959
9c,1.078657437,0.764115758,0.952811134,0.421531464,0.96000143,0.451577322
9d,1.040326577,0.167846864,1.170953531,0.680866739,1.066208016,0.522107728
10a,1.103544737,0.709766642,1.147342599,0.796114277,1.118031854,0.387420417
10b,1.165042782,0.212417151,1.052758957,0.470678107,1.052884312,0.395960556
10c,1.004342828,0.684612259,1.412729919,1.389398114,1.321833648,0.465258756
11a,1.249324932,1.029673591,1.153625815,0.708888796,1.320805715,0.477487204
11b,1.211162791,0.399509052,1.888279312,0.323481975,1.408450704,0.533114086
11c,3.631226227,1.735006491,2.09091601,0.884417218,1.12802589,0.468290912
11d,10.36037839,2.360858931,1.84,0.387934244,1.105470953,0.493384109
12a,1.016903413,0.873698411,1.064738716,0.698032739,1.301528239,0.497057984
12b,1.117899995,0.979051098,1.330390133,0.707796193,1.003817787,0.485467621
12c,1.065045421,0.839118936,0.988508965,0.744021251,1.418637532,0.52550948
13a,1.046886076,0.769883825,1.07476306,0.596338249,0.906282451,0.529116598
13b,1.747645465,0.710032498,1.020567505,0.532787516,1.29546753,0.640944103
13c,1.265163297,0.58977767,1.038050652,0.307909778,1.140444591,0.664058762
13d,2.03581099,1.992077305,10.81580526,9.710287563,0.968398364,0.49837448
14a,1.041784487,0.994001962,1.357872277,0.853732119,1.565381575,0.46946233
14b,1.005682502,0.940232317,1.189400247,0.888967942,1.003584701,0.530972731
14c,1.182931136,1.097220099,1.239798221,0.76934978,1.638330494,0.476774405
15a,1.012149255,0.90063411,1.36681046,0.818348019,1.057924962,0.502848792
15b,1.013288871,0.882201278,3.221079522,0.1144025,0.999169904,0.480802447
15c,1.210651635,0.773126455,1.102003913,0.501688379,1.049500308,0.502518595
15d,2.161220859,1.061675022,1.238747527,0.616049871,1.005228935,0.486087615
16a,1.317437518,0.394365713,12.3061221,4.006740606,1.019301639,0.507271935
16b,2.852769211,0.9847302,1.299211473,0.856174597,1.032773195,0.505670979
16c,1.235116197,0.61376788,1.001038812,0.957774585,1.04983928,0.539222842
16d,1.206952262,0.783722504,1.063469544,0.782904869,1.004773882,0.514080402
17a,1.771736275,1.13318493,1.277467726,0.549071517,1.001430709,0.51889877
17b,1.888780345,0.768889684,1.500012466,0.295614642,1.028313619,0.487751223
17c,1.916,0.807302987,1.03,0.305400884,0.998800812,0.511004303
17d,2.090741062,0.460334215,1.412963491,0.143826862,1.011069953,0.508170976
17e,1.944430085,0.838778013,1.232098453,0.525594324,1.030965185,0.502045407
17f,1.808744738,0.734759712,1.146232802,0.366435957,1.01880377,0.49978698
18a,1.427355438,0.949104088,1.297646953,0.764065994,1.01826398,0.497085818
18b,1.003665493,0.826601087,1.073130532,0.872374575,1.050781108,0.423601312
18c,1.028296739,0.975827825,1.037286291,0.859608354,1.056626362,0.490678778
19a,1.039131659,1.012233953,1.055067305,0.694818244,1.388694918,0.49237031
19b,1.014250638,0.93159105,1.562641005,0.774684304,1.075485367,0.469533508
19c,1.203330425,1.202353755,1.114736391,0.638112077,1.434058537,0.498856276
19d,1.534690439,0.987893001,1.169343617,0.505406716,1.081732497,0.437754263
20a,1.588255098,1.260852965,1.141422787,0.540321798,1.013410818,0.490717511
20b,1.200591233,1.012464738,1.159335584,0.65125088,1.088480801,0.489072859
20c,1.125559534,0.612570547,1.362239393,0.43275056,1.016528926,0.449253525
21a,1.023019821,0.996591186,1.532497624,0.851514577,1.201478277,0.676038041
21b,1.023154413,1.003662643,3.049562505,0.783480304,0.908897047,0.647213412
21c,1.477275135,0.988562246,1.874227647,0.482683162,1.337886701,0.613323864
22a,1.090258923,0.938940005,2.647308744,0.434247411,1.42804378,0.470842478
22b,1.002396911,0.915737399,3.034114818,0.865961648,1.377672832,0.433145955
22c,1.564573184,1.471501901,3.48784559,0.908287431,1.600909233,0.437423426
22d,2.322029677,2.119192378,3.146213116,0.837765479,1.937332215,0.467279024
23a,1.076261561,0.863334635,2.936807727,0.472792101,1.020467226,0.455344564
23b,1.001485136,0.87936522,1.122379445,0.383194176,0.967024857,0.450046991
23c,1.071948977,0.894213592,0.966569495,0.13494819,1.002924326,0.428208993
24a,1.226408654,1.049247762,1.129693562,0.603762773,1.004071547,0.500621151
24b,1.57056055,0.831946075,0.994177069,0.691262521,0.998675515,0.506874058
25a,1.028295364,0.732992961,1.124798856,0.472924247,1.217725664,0.492977786
25b,1.015573697,0.834249584,1.048221409,0.698466609,1.012559825,0.518237503
25c,1.183668985,0.935525091,1.363363815,0.539367647,1.288249337,0.495803662
26a,1.027085747,0.791826024,1.184141199,0.212626179,0.993722348,0.525606926
26b,1.009982041,0.734791857,1.005637522,0.320431566,1.14015654,0.533394839
26c,1.119583017,0.626517065,1.063235886,0.262122887,1.146159411,0.516648448
27a,1.606920684,0.984610253,1.057792512,0.619517013,0.999747163,0.77349298
27b,1.010227439,0.944323045,1.788517546,0.884731185,1.109024314,0.442228441
27c,1.008465219,0.642579072,1.397607908,0.5025953,1.186249744,0.712179514
28a,1.199353916,1.062376371,6.88287527,5.61090976,1.046682099,0.48159189
28b,1.027883281,0.946789567,1.249709342,0.631233632,1.001098669,0.448563676
28c,1.276039263,1.028189485,1.103335027,1.061061114,0.986496881,0.533437313
29a,13.83729753,10.96953712,1.932203339,0.669978347,1.038939673,0.498867856
29b,1.455824715,0.698135211,1.054944225,0.596161184,1.034593946,0.501866055
29c,1.013578287,0.796078571,1.091494427,0.565264929,1.270664816,0.50858552
30a,1.704812894,1.023007546,1.208059651,0.706957257,1.005458188,0.467685425
30b,1.024373767,0.875284825,1.002012301,0.708445783,1.002093938,0.417901781
30c,1.380719502,1.045012613,1.067570416,0.563502403,0.986228343,0.507298701
31a,1.439824445,0.915856052,1.014864794,0.594924702,1.102767969,0.489074203
31b,1.518478339,0.915856052,1.082648583,0.752854951,0.984608311,0.496667847
31c,1.039124453,0.826178332,1.061226946,0.619978472,1.02624206,0.486891491
32a,2.371316306,0.449367089,3.772407498,1.593691644,0.996302521,0.489338882
32b,1.139622642,0.432178268,1.203120329,0.377778558,0.882315611,0.339001539
33a,2.167708716,0.521085669,0.956692226,0.276243419,1.283510341,0.571285136
33b,1.28945506,0.69028225,0.959129441,0.201835627,0.989608555,0.565999949
33c,1.060216633,0.446325064,0.753149501,0.192225231,1.260621466,0.578345957