thread,DuckDB native,DuckDB Yannakakis+,PostgreSQL native,PostgreSQL Yannakakis+
0.2151,12.356,1.508,85.883676,83.773
0.3672,15.15,1.585,115.882841,100.601415
0.5132,28.881,1.682,147.656793,103.490712
0.6584,31.818,1.693,179.320988,108.266147
0.8053,40.857,1.763,210.315729,109.004007
0.9979,69.34,1.553,250.431738,112.386722
0.08,0.125,0.122,8.552,7.799
0.26,0.297,0.25,10.073,9.572
0.42,0.363,0.321,12.237,11.783
0.54,0.479,0.4,14.209,13.558
0.72,0.552,0.529,18.134,16.513
0.9,0.611,0.58,20.624,19.938
0.98,0.975,0.819,21.825,20.835