Query,DuckDB original,DuckDB yannakakis,DuckDB rewrite,PostgreSQL original,PostgreSQL yannakakis,PostgreSQL rewrite,Spark original,Spark yannakakis,Spark rewrite
q2,1.429,2.853,1.465,21.936223,63.267989,21.192477,118.103,285.363,120.796
q3,5.318,7.007,5.066,79.996517,252.060301,68.387146,509.762,1089.93,507.38
q4,3.337,4.494,3.314,71.173853,90.581558,69.878088,509.331,978.418,491.388
q5,5.625,12.71,4.984,18.785335,182.88798,17.973126,512.959,1034.167,526.169
q7,5.963,13.586,5.857,56.94172,105.452401,56.695195,554.057,1424.235,510.498
q8,6.179,7.676,6.463,39.436336,57.137888,40.749193,510.512,1050.39,530.118
q9,11.082,37.248,9.636,820.218425,554.798,468.023464,573.165,1368.18,570.812
q10,12.362,13.279,9.323,33.25209,58.955168,32.239801,507.33,1008.802,497.582
q11,1.035,1.388,1.034,8.576544,8.697,8.606396,47.994,89.482,44.168
q12,3.955,5.074,3.901,27.328725,73.1955,27.429534,496.8,959.504,503.853
q14,5.571,7.154,4.87,12.656943,41.605,11.816073,421.005,805.374,406.383
q15,6.449,7.169,6.344,159.906,171.607163,159.752697,816.288,822.619,752.854
q16,0.955,1.351,0.791,10.398374,27.963019,10.38982,57.928,112.131,55.294
q17,24.156,25.602,23.059,442.440367,491.781146,325.911907,858.306,1601.317,847.04
q18,6.153,11.001,6.858,341.368911,553.072,322.767712,937.83,2243.1,910.593
q19,5.719,5.757,5.682,52.943,57.838289,51.889477,403.059,802.41,402.611
q20,9.099,8.817,8.386,187.209063,186.897912,180.090722,510.14,914.1,499.073